post_title	post_name	sku	parent_sku	children	stock	regular_price	sold_individually	tax_status	product_url	images	product_page_url
"Performance - Black Folding 20x1.10 (28-406)"	performance-black-folding-20x1-10-28-406	SNA11653962				70.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/SNA11653962.png ! alt :  ! title : SNA11653962 ! desc :  ! caption : "	https://49b.pfcd.ca/product/performance-black-folding-20x1-10-28-406/
"Pro One 20x1.10 (28-406) Microskin TLE - Black Folding"	pro-one-20x1-10-28-406-microskin-tle-black-folding	SNA11653951				110.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/SNA11653951.png ! alt :  ! title : SNA11653951 ! desc :  ! caption : "	https://49b.pfcd.ca/product/pro-one-20x1-10-28-406-microskin-tle-black-folding/
"K1129 Kwick Journey 20x1.75(45-406) - Black"	k1129-kwick-journey-20x1-7545-406-black	K212949				56.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K1129.png ! alt :  ! title : K1129 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k1129-kwick-journey-20x1-7545-406-black/
"HS385 Kojak 35-406 (20 x 1.35) - Black"	hs385-kojak-35-406-20-x-1-35-black	SNA11100063				45.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/SNA11600046-02.png ! alt :  ! title : SNA11600046-02 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs385-kojak-35-406-20-x-1-35-black/
"C1131 Dirt Monster 20x1.95(406) - Black"	c1131-dirt-monster-20x1-95406-black	2TY010				35.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/2TY010.jpg ! alt :  ! title : 2TY010 ! desc :  ! caption : "	https://49b.pfcd.ca/product/c1131-dirt-monster-20x1-95406-black/
"Marathon Winter HS396 Reflex - Black 20x1.60(42-406)"	marathon-winter-hs396-reflex-black-20x1-6042-406	SNA11116448.02				102.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/SNA11100599.01_200x200.png ! alt :  ! title : SNA11100599.01_200x200 ! desc :  ! caption : "	https://49b.pfcd.ca/product/marathon-winter-hs396-reflex-black-20x1-6042-406/
"20 x 2.15 (55-406) Marathon GT 365 Black Reflex"	20-x-2-15-55-406-marathon-gt-365-black-reflex	SNA11159243				56.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/SNA11159243.jpg ! alt :  ! title : SNA11159243 ! desc :  ! caption : "	https://49b.pfcd.ca/product/20-x-2-15-55-406-marathon-gt-365-black-reflex/
"K196 Kontender 20x1.0 (23-451)"	k196-kontender-20x1-0-23-451	K25200119650				40.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/K196_gybk26.jpg ! alt :  ! title : K196_gybk26.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/k196-kontender-20x1-0-23-451/
"HS387 Right Run 20x1.0 (25-451)"	hs387-right-run-20x1-0-25-451	SNA10273328.01				25.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS387_RightRun.jpg ! alt :  ! title : HS387_RightRun ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs387-right-run-20x1-0-25-451/
"HS350 Stelvio 20x1.125 (28-451)"	hs350-stelvio-20x1-125-28-451	SNA11121351				39.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS350_Stelvio.jpg ! alt :  ! title : HS350_Stelvio ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs350-stelvio-20x1-125-28-451/
