product_name,product_sku,virtuemart_product_id,category_name,picture_url,product_discount,product_in_stock,product_price,product_sales,salesprice,taxamount,,
Stainless Steel 6 Tab,2PR135,370,Push Rims,/images/stories/virtuemart/product/2PR135.jpg,,,105,,105,0,,
Fit Grips PRO Push Rim w Drawstring Bag,2PR612,372,Push Rims,/images/stories/virtuemart/product/pro_blue.png,,,50,,50,0,,
Fit Grips COMFORT Push Rim - Black w Packaging,2PR630,375,Push Rims,/images/stories/virtuemart/product/comfort_blue.png,,,40,,40,0,,
Silicone Cover,2PR400,379,Push Rims,/images/stories/virtuemart/product/2PR400.jpg,,,69,,69,0,,
22'' Silicone Cover - Black,2PR405,380,,/images/stories/virtuemart/product/2PR400.jpg,,,69,,69,0,,
24'' Silicone Cover - Black,2PR410,381,,/images/stories/virtuemart/product/2PR400.jpg,,,69,,69,0,,
24'' Silicone Cover - Red,2PR411,382,,/images/stories/virtuemart/product/noimage.gif,,,69,,69,0,,
25'' Silicone Cover - Black,2PR420,383,,/images/stories/virtuemart/product/2PR400.jpg,,,69,,69,0,,
26'' Silicone Cover - Black,2PR415,384,,/images/stories/virtuemart/product/2PR400.jpg,,,69,,69,0,,
"Wire Spoke 194mm, inside",2SP580,386,Spokes,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"20'' Wire Spoke 199mm, outside",2SP585,387,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"22'' Wire Spoke 220mm, inside",2SP590,388,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"22'' Wire Spoke 225mm, outside",2SP595,389,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"24'' Wire Spoke 238mm, inside",2SP600,390,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"24'' Wire Spoke 243mm, outside",2SP603,391,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"25'' Wire Spoke 248mm, inside",2SP606,392,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"25'' Wire Spoke 253mm, outside",2SP609,393,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"26'' Wire Spoke 262mm, inside",2SP615,394,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
"26'' Wire Spoke 267mm, outside",2SP620,395,,/images/stories/virtuemart/product/2SP580.jpg,,,1.5,,1.5,0,,
D Pul - Black c/w Nipple,2SP200,397,Spokes,/images/stories/virtuemart/product/2SP200.jpg,,,3,,3,0,,
24'' J Bend - Black c/w Nipple,2SP209,398,,/images/stories/virtuemart/product/2SP209.jpg,,,3,,3,0,,
25 D Pul - Black c/w Nipple,2SP203,399,,/images/stories/virtuemart/product/2SP200.jpg,,,3,,3,0,,
25'' J Bend - Black c/w Nipple,2SP212,400,,/images/stories/virtuemart/product/2SP209.jpg,,,3,,3,0,,
26'' D Pul - Black c/w Nipple,2SP206,401,,/images/stories/virtuemart/product/2SP200.jpg,,,3,,3,0,,
26'' J Bend - Black c/w Nipple,2SP215,402,,/images/stories/virtuemart/product/2SP209.jpg,,,3,,3,0,,
Equalizer J Bend c/w Nipple,2SP162,404,Spokes,/images/stories/virtuemart/product/2SP209.jpg,,,3,,3,0,,
